SiteCode,Regions,Country,Site name,National name,Global KBA criteria,KBA Classification,Ecosystems,Latitude,Longitude,Elevation (m),Area (Km2),PA/OECM coverage (%),Legacy site,Year of assessment
100141,South America,Peru,Chala,Chala,"A1a,A1c,B1",Global,terrestrial,-15.857,-74.231,100 to 150,34.64673,,No,2023
100142,South America,Peru,Chincheros,Chincheros,"A1a,A1c",Global,terrestrial,-13.614,-73.686,3000 to 4200,234.61787,,No,2023
100143,South America,Peru,Chorropampa,Chorropampa,"A1a,A1c",Global,terrestrial,-9.7355,-75.6759,900 to 2900,120.8635,,No,2023
100144,South America,Peru,Chuchuhuasi,Chuchuhuasi,"A1b,B2",Global,terrestrial,-5.3572,-78.7441,500 to 1200,105.80492,,No,2023
100145,South America,Peru,Churín - Río Huaura,Churín - Río Huaura,B1,Global,"terrestrial, freshwater",-10.814,-76.898,1550 to 4850,389.94557,,No,2023
100146,South America,Peru,Cocachacra,Cocachacra,"A1b,A1d,B1",Global,"terrestrial, freshwater",-11.8875,-76.5219,1150 to 3700,125.262,,No,2023
100147,South America,Peru,Cochamarca - Río Huaura,Cochamarca - Río Huaura,B2,Global,"terrestrial, freshwater",-10.9281,-77.0871,1150 to 4000,118.04702,,No,2023
100148,South America,Peru,Colonia Yauyos,Colonia Yauyos,"A1b,A1d",Global,terrestrial,-12.48,-75.885,2300 to 4000,17.79801,,No,2023
100149,South America,Peru,Cotabambas,Cotabambas,B1,Global,"terrestrial, freshwater",-13.701,-72.358,2000 to 4200,160.70038,,No,2023
100150,South America,Peru,Culebrillas,Culebrillas,"A1b,A1d",Global,"terrestrial, freshwater",-13.273,-75.622,1100 to 3550,197.86578,,No,2023
100151,South America,Peru,Cullahuasi,Cullahuasi,B1,Global,terrestrial,-13.56,-75.488,400 to 3700,387.04643,,No,2023
100152,South America,Peru,Dos de Mayo-Lauricocha,Dos de Mayo-Lauricocha,"A1a,A1b,B1,B2",Global,"terrestrial, freshwater",-9.8254,-76.7576,3200 to 4200,1680.96522,,No,2023
100153,South America,Peru,Huabayacu,Huabayacu,"A1a,A1e,B1",Global,terrestrial,-6.6123,-77.542,1250 to 3600,398.73131,,No,2023
