"SiteCode","Regions","Country","Site name","National name","Global KBA criteria","KBA Classification","Ecosystems","Latitude","Longitude","Elevation (m)","Area (Km2)","PA/OECM coverage (%)","Legacy site","Year of assessment"
"24589","South America","Peru","Estuario de Virrilá","Estuario de Virrilá","B2,D1a","Global","terrestrial","-5.8770","-80.6660","1 to 60","422.051767","","Yes","2023"
"24591","South America","Peru","Cordillera de Colán","Cordillera de Colán","A1a,A1b,A1c,A1d,B1,B2","Global","terrestrial","-5.5300","-78.1860","700 to 3600","1356.752345","51.00","Yes","2023"
"24595","South America","Peru","Los Santos","Los Santos","A1a,A1c,B1,B2","Global","terrestrial","-5.9680","-77.8950","1150 to 3500","359.017996","5.00","Yes","2023"
"25154","South America","Peru","Cordillera Huayhuash y Nor Oyón","Cordillera Huayhuash y Nor Oyón","A1a,A1b,A1d,B2","Global","terrestrial","-10.3900","-76.8700","3650 to 6600","784.197612","86.20","Yes","2023"
"25196","South America","Peru","Granada","Granada","A1b","Global","terrestrial","-5.9390","-77.6765","2160 to 3900","29.72104","","Yes","2023"
"26758","South America","Peru","Conchamarca, Ambo","Conchamarca, Ambo","A1a,A1e","Global","terrestrial, freshwater","-10.0572","-76.1650","2029 to 4384","157.460153","","Yes","2024"
"26760","South America","Peru","Llamaquizú stream","Arroyo Llamaquizú ","A1a,A1b,A1e,B1","Global","terrestrial, freshwater","-10.6169","-75.3662","1350 to 2950","127.676485","0.10","Yes","2023"
"29755","South America","Peru","Celendín","Celendín","A1a,A1b,A1e,B1,B2","Global","terrestrial","-6.9380","-78.2930","3200 to 4000","77.765488","","Yes","2023"
"29760","South America","Peru","Phara","Phara","A1e","Global","terrestrial, freshwater","-14.0907","-69.6977","2500 to 3800","133.620586","","Yes","2023"
"47168","South America","Peru","Huacho","Huacho","A1a,B1","Global","terrestrial","-11.2830","-77.4870","100 to 500","12.761406","","No","2023"
"47169","South America","Peru","Huasahuasi","Huasahuasi","A1a,A1e","Global","terrestrial","-11.2805","-75.5883","2900 to 3400","42.235766","","No","2023"
"47170","South America","Peru","Lurin valley","Lurin valley","A1a,A1e","Global","terrestrial","-12.1000","-76.5300","1464 to 3350","101.186448","","No","2023"
"47171","South America","Peru","Maraynioc Puna ","Maraynioc Puna ","A1a,A1e,B1","Global","terrestrial","-11.3489","-75.4684","2000 to 4450","9.810935","","No","2023"
"47172","South America","Peru","Otuzco valley","Otuzco valley","A1a,A1e,B1,B2","Global","terrestrial","-7.9100","-78.5600","2285 to 3211","79.917128","","No","2023"
"47173","South America","Peru","Rimac Valley","Rimac Valley","A1a,A1e,B1","Global","terrestrial","-11.9800","-76.7400","572 to 2030","165.263266","","No","2023"
"47174","South America","Peru","Río Abiseo National Park buffer zone","Zona de Amortiguamiento del Parque Nacional Río Abiseo","A1a,A1b,A1e,B1,B2","Global","terrestrial","-7.5800","-77.3660","321 to 4450","6449.135589","","No","2023"
"47175","South America","Peru","Rio Aycata valley","Rio Aycata valley","A1a,B1","Global","terrestrial","-16.0600","-71.6300","2450 to 3671","118.204561","","No","2023"
"47176","South America","Peru","Río Mantaro","Río Mantaro ","A1a,A1b,B2","Global","terrestrial","-12.9463","-74.3093","2241 to 4142","904.14446","0.27","No","2023"
"47177","South America","Peru","Rio Santa Valley (Santa Province)","Valle del Río Santa","A1a,A1b,A1d,B1","Global","terrestrial","-8.7300","-78.0300","1309 to 4890","372.831693","","No","2023"
"47178","South America","Peru","San Juan Cajamarca","San Juan Cajamarca","A1a,B1,B2","Global","terrestrial","-7.2300","-78.4200","2415 to 3512","37.623943","","No","2023"
"100062","South America","Peru","Apacheta-Pilpichaca","Apacheta-Pilpichaca","A1b,B2","Global","terrestrial","-13.3810","-74.8140","3550 to 5050","159.916986","","No","2023"
"100063","South America","Peru","Huaytapallana Regional Conservation Area","Área de Conservación Regional Huaytapallana","A1a,B2","Global","terrestrial","-11.8800","-75.0300","3700 to 5560","224.244408","100.00","No","2023"
"100064","South America","Peru","Cajabamba","Cajabamba","A1a,A1e,B1","Global","terrestrial","-7.5756","-77.9528","2900 to 4430","41.677251","","No","2023"
"100065","South America","Peru","Puyu Sacha","Puyu Sacha","A1a,A1e,B1,B2","Global","terrestrial","-12.8220","-73.8870","894 to 4393","15.862225","","No","2023"
"100066","South America","Peru","Jaen","Jaen","A1b,B1,B2","Global","terrestrial","-5.8295","-78.7284","500 to 1000","64.526833","","No","2023"
"100068","South America","Peru","Nevado Bolívar","Nevado Bolívar","A1a,A1b,A1e,B2","Global","terrestrial","-7.1300","-77.7100","2832 to 4670","39.855646","","No","2023"
"100069","South America","Peru","Occopalca","Occopalca","A1a,B1","Global","terrestrial","-15.5800","-71.0500","4420 to 4500","22.222064","","No","2023"
"100070","South America","Peru","Pelagatos","Pelagatos","A1a,A1b,B1,B2","Global","terrestrial","-8.2200","-77.7800","3600 to 4830","150.031633","","No","2023"
"100071","South America","Peru","Pucara","Pucara","A1a","Global","terrestrial","-6.0352","-79.1419","1900 to 2000","34.523468","","No","2023"
